,0
1024,513520
1025,513552
1026,513520
1027,513520
1028,513520
1029,513520
1030,513536
1031,513504
1032,513536
1033,513536
1034,513536
1035,513520
1036,513520
1037,513504
1038,513536
1039,513536
1040,513504
1041,513520
1042,513504
1043,513504
1044,513536
1045,513504
1046,513520
1047,513536
1048,513504
1049,513504
1050,513520
1051,513520
1052,513520
1053,513488
1054,513536
1055,513536
1056,513520
1057,513520
1058,513520
1059,513536
1060,513504
1061,513536
1062,513536
1063,513520
1064,513520
1065,513536
1066,513520
1067,513504
1068,513536
1069,513520
1070,513504
1071,513520
1072,513520
1073,513536
1074,513536
1075,513536
1076,513504
1077,513536
1078,513488
1079,513504
1080,513536
1081,513536
1082,513536
1083,513520
1084,513520
1085,513520
1086,513520
1087,513536
1088,513520
1089,513504
1090,513520
1091,513504
1092,513536
1093,513520
1094,513536
1095,513536
1096,513504
1097,513536
1098,513520
1099,513520
1100,513520
1101,513520
1102,513536
1103,513536
1104,513536
1105,513536
1106,513536
1107,513536
1108,513504
1109,513520
1110,513520
1111,513536
1112,513536
1113,513520
1114,513536
1115,513536
1116,513520
1117,513536
1118,513536
1119,513536
1120,513536
1121,513520
1122,513552
1123,513520
1124,513536
1125,513536
1126,513520
1127,513520
1128,513504
1129,513520
1130,513536
1131,513536
1132,513536
1133,513552
1134,513536
1135,513536
1136,513520
1137,513520
1138,513504
1139,513520
1140,513520
1141,513488
1142,513520
1143,513536
1144,513520
1145,513520
1146,513488
1147,513520
1148,513520
1149,513520
1150,513504
1151,513552
1152,513520
1153,513536
1154,513536
1155,513536
1156,513520
1157,513536
1158,513520
1159,513520
1160,513520
1161,513488
1162,513536
1163,513536
1164,513520
1165,513520
1166,513504
1167,513504
1168,513536
1169,513504
1170,513520
1171,513520
1172,513536
1173,513520
1174,513504
1175,513520
1176,513536
1177,513520
1178,513504
1179,513504
1180,513520
1181,513520
1182,513504
1183,513520
1184,513504
1185,513536
1186,513536
1187,513504
1188,513520
1189,513520
1190,513520
1191,513520
1192,513504
1193,513520
1194,513504
1195,513520
1196,513568
1197,513536
1198,513520
1199,513504
1200,513488
1201,513520
1202,513536
1203,513536
1204,513520
1205,513504
1206,513504
1207,513504
1208,513552
1209,513504
1210,513536
1211,513504
1212,513488
1213,513488
1214,513488
1215,513520
1216,513504
1217,513520
1218,513488
1219,513520
1220,513504
1221,513520
1222,513520
1223,513520
1224,513536
1225,513504
1226,513504
1227,513520
1228,513504
1229,513504
1230,513504
1231,513520
1232,513504
1233,513488
1234,513504
1235,513504
1236,513504
1237,513536
1238,513536
1239,513536
1240,513520
1241,513504
1242,513520
1243,513536
1244,513504
1245,513520
1246,513520
1247,513488
1248,513520
1249,513520
1250,513504
1251,513536
1252,513520
1253,513504
1254,513536
1255,513504
1256,513520
1257,513536
1258,513520
1259,513520
1260,513520
1261,513504
1262,513520
1263,513536
1264,513520
1265,513520
1266,513520
1267,513520
1268,513520
1269,513488
1270,513520
1271,513504
1272,513504
1273,513520
1274,513520
1275,513520
1276,513520
1277,513520
1278,513520
1279,513504
1280,513504
1281,513488
1282,513520
1283,513504
1284,513520
1285,513504
1286,513504
1287,513520
1288,513520
1289,513520
1290,513488
1291,513504
1292,513520
1293,513520
1294,513520
1295,513520
1296,513488
1297,513504
1298,513504
1299,513520
1300,513504
1301,513520
1302,513504
1303,513536
1304,513536
1305,513520
1306,513520
1307,513504
1308,513520
1309,513520
1310,513504
1311,513504
1312,513504
1313,513504
1314,513520
1315,513520
1316,513504
1317,513504
1318,513536
1319,513536
1320,513488
1321,513504
1322,513504
1323,513504
1324,513520
1325,513520
1326,513520
1327,513488
1328,513504
1329,513504
1330,513504
1331,513520
1332,513536
1333,513520
1334,513520
1335,513504
1336,513504
1337,513536
1338,513520
1339,513504
1340,513520
1341,513504
1342,513504
1343,513504
1344,513520
1345,513520
1346,513488
1347,513504
1348,513488
1349,513504
1350,513504
1351,513520
1352,513504
1353,513520
1354,513472
1355,513520
1356,513520
1357,513504
1358,513504
1359,513488
1360,513488
1361,513536
1362,513504
1363,513504
1364,513488
1365,513504
1366,513536
1367,513504
1368,513504
1369,513504
1370,513472
1371,513504
1372,513520
1373,513504
1374,513504
1375,513520
1376,513504
1377,513504
1378,513504
1379,513488
1380,513488
1381,513504
1382,513520
1383,513504
1384,513504
1385,513504
1386,513504
1387,513488
1388,513504
1389,513504
1390,513504
1391,513504
1392,513520
1393,513504
1394,513472
1395,513504
1396,513504
1397,513504
1398,513520
1399,513520
1400,513488
1401,513504
1402,513472
1403,513504
1404,513504
1405,513488
1406,513520
1407,513504
1408,513504
1409,513488
1410,513504
1411,513520
1412,513520
1413,513520
1414,513504
1415,513520
1416,513520
1417,513488
1418,513504
1419,513504
1420,513504
1421,513504
1422,513488
1423,513488
1424,513488
1425,513504
1426,513488
1427,513504
1428,513504
1429,513488
1430,513488
1431,513504
1432,513504
1433,513536
1434,513504
1435,513488
1436,513504
1437,513488
1438,513520
1439,513504
1440,513504
1441,513536
1442,513504
1443,513504
1444,513520
1445,513504
1446,513536
1447,513504
1448,513488
1449,513520
1450,513520
1451,513488
1452,513520
1453,513520
1454,513504
1455,513520
1456,513488
1457,513504
1458,513488
1459,513488
1460,513488
1461,513488
1462,513504
1463,513504
1464,513520
1465,513520
1466,513504
1467,513504
1468,513504
1469,513504
1470,513504
1471,513488
1472,513520
1473,513520
1474,513488
1475,513504
1476,513504
1477,513520
1478,513504
1479,513488
1480,513520
1481,513504
1482,513520
1483,513504
1484,513520
1485,513504
1486,513488
1487,513504
1488,513520
1489,513504
1490,513504
1491,513488
1492,513504
1493,513504
1494,513520
1495,513488
1496,513504
1497,513520
1498,513488
1499,513520
1500,513488
1501,513504
1502,513520
1503,513504
1504,513520
1505,513520
1506,513504
1507,513504
1508,513504
1509,513488
1510,513520
1511,513488
1512,513504
1513,513488
1514,513520
1515,513520
1516,513488
1517,513504
1518,513536
1519,513488
1520,513488
1521,513520
1522,513520
1523,513504
1524,513504
1525,513504
1526,513488
1527,513504
1528,513504
1529,513504
1530,513504
1531,513520
1532,513488
1533,513520
1534,513536
1535,513488
1536,513504
1537,513488
1538,513504
1539,513488
1540,513504
1541,513504
1542,513520
1543,513504
1544,513504
1545,513488
1546,513472
1547,513488
1548,513472
1549,513504
1550,513520
1551,513504
1552,513488
1553,513520
1554,513504
1555,513504
1556,513504
1557,513504
1558,513520
1559,513504
1560,513504
1561,513488
1562,513520
1563,513488
1564,513504
1565,513520
1566,513504
1567,513504
1568,513504
1569,513536
1570,513504
1571,513520
1572,513520
1573,513520
1574,513488
1575,513520
1576,513504
1577,513520
1578,513504
1579,513536
1580,513504
1581,513504
1582,513520
1583,513520
1584,513536
1585,513520
1586,513536
1587,513520
1588,513536
1589,513536
1590,513488
1591,513504
1592,513504
1593,513520
1594,513520
1595,513504
1596,513504
1597,513504
1598,513520
1599,513504
1600,513520
1601,513520
1602,513504
1603,513504
1604,513504
1605,513520
1606,513488
1607,513504
1608,513536
1609,513536
1610,513504
1611,513504
1612,513488
1613,513504
1614,513504
1615,513520
1616,513536
1617,513520
1618,513504
1619,513504
1620,513504
1621,513520
1622,513536
1623,513520
1624,513488
1625,513536
1626,513520
1627,513504
1628,513504
1629,513520
1630,513520
1631,513520
1632,513488
1633,513488
1634,513504
1635,513504
1636,513536
1637,513536
1638,513520
1639,513536
1640,513520
1641,513536
1642,513504
1643,513488
1644,513520
1645,513504
1646,513536
1647,513536
1648,513504
1649,513520
1650,513488
1651,513520
1652,513520
1653,513488
1654,513504
1655,513520
1656,513520
1657,513536
1658,513536
1659,513504
1660,513504
1661,513520
1662,513488
1663,513520
1664,513504
1665,513504
1666,513504
1667,513488
1668,513488
1669,513520
1670,513488
1671,513520
1672,513536
1673,513488
1674,513504
1675,513520
1676,513488
1677,513520
1678,513504
1679,513536
1680,513520
1681,513520
1682,513520
1683,513520
1684,513504
1685,513504
1686,513504
1687,513504
1688,513520
1689,513520
1690,513504
1691,513520
1692,513504
1693,513520
1694,513488
1695,513536
1696,513504
1697,513504
1698,513504
1699,513536
1700,513504
1701,513488
1702,513520
1703,513488
1704,513504
1705,513536
1706,513504
1707,513504
1708,513504
1709,513488
1710,513520
1711,513504
1712,513520
1713,513488
1714,513504
1715,513504
1716,513520
