,0
1118,537760
1119,537744
1120,537744
1121,537744
1122,537728
1123,537744
1124,537760
1125,537728
1126,537712
1127,537728
1128,537728
1129,537760
1130,537728
1131,537728
1132,537744
1133,537760
1134,537744
1135,537760
1136,537728
1137,537728
1138,537744
1139,537776
1140,537760
1141,537712
1142,537728
1143,537728
1144,537760
1145,537760
1146,537728
1147,537712
1148,537728
1149,537712
1150,537744
1151,537760
1152,537744
1153,537728
1154,537744
1155,537744
1156,537712
1157,537760
1158,537760
1159,537744
1160,537760
1161,537728
1162,537744
1163,537760
1164,537744
1165,537760
1166,537728
1167,537760
1168,537728
1169,537744
1170,537744
1171,537760
1172,537728
1173,537760
1174,537744
1175,537728
1176,537728
1177,537728
1178,537744
1179,537744
1180,537744
1181,537728
1182,537744
1183,537744
1184,537728
1185,537728
1186,537744
1187,537760
1188,537728
1189,537760
1190,537712
1191,537744
1192,537760
1193,537728
1194,537744
1195,537712
1196,537760
1197,537728
1198,537728
1199,537760
1200,537760
1201,537728
1202,537760
1203,537744
1204,537760
1205,537744
1206,537728
1207,537744
1208,537760
1209,537744
1210,537728
1211,537760
1212,537776
1213,537728
1214,537760
1215,537728
1216,537728
1217,537728
1218,537728
1219,537728
1220,537712
1221,537728
1222,537744
1223,537728
1224,537744
1225,537728
1226,537744
1227,537744
1228,537728
1229,537744
1230,537712
1231,537744
1232,537760
1233,537744
1234,537744
1235,537744
1236,537728
1237,537728
1238,537744
1239,537744
1240,537712
1241,537744
1242,537728
1243,537728
1244,537728
1245,537712
1246,537744
1247,537728
1248,537744
1249,537728
1250,537760
1251,537760
1252,537760
1253,537760
1254,537728
1255,537728
1256,537728
1257,537760
1258,537728
1259,537760
1260,537760
1261,537728
1262,537728
1263,537728
1264,537760
1265,537760
1266,537744
1267,537728
1268,537760
1269,537760
1270,537728
1271,537760
1272,537760
1273,537760
1274,537744
1275,537760
1276,537728
1277,537760
1278,537712
1279,537744
1280,537728
1281,537728
1282,537728
1283,537760
1284,537728
1285,537728
1286,537728
1287,537744
1288,537760
1289,537728
1290,537744
1291,537728
1292,537728
1293,537728
1294,537728
1295,537728
1296,537760
1297,537760
1298,537728
1299,537728
1300,537744
1301,537760
1302,537744
1303,537728
1304,537744
1305,537760
1306,537728
1307,537760
1308,537744
1309,537744
1310,537760
1311,537744
1312,537744
1313,537744
1314,537744
1315,537760
1316,537760
1317,537760
1318,537744
1319,537760
1320,537728
1321,537728
1322,537728
1323,537744
1324,537760
1325,537744
1326,537744
1327,537728
1328,537776
1329,537744
1330,537744
1331,537728
1332,537728
1333,537760
1334,537744
1335,537744
1336,537728
1337,537728
1338,537728
1339,537744
1340,537728
1341,537728
1342,537744
1343,537728
1344,537728
1345,537744
1346,537744
1347,537744
1348,537744
1349,537760
1350,537760
1351,537728
1352,537760
1353,537760
1354,537728
1355,537744
1356,537728
1357,537744
1358,537760
1359,537760
1360,537760
1361,537744
1362,537728
1363,537744
1364,537744
1365,537744
1366,537728
1367,537744
1368,537728
1369,537744
1370,537760
1371,537760
1372,537712
1373,537728
1374,537760
1375,537760
1376,537744
1377,537728
1378,537760
1379,537728
1380,537760
1381,537728
1382,537728
1383,537728
1384,537744
1385,537744
1386,537744
1387,537776
1388,537760
1389,537760
1390,537760
1391,537728
1392,537728
1393,537728
1394,537728
1395,537760
1396,537728
1397,537760
1398,537760
1399,537744
1400,537728
1401,537728
1402,537728
1403,537712
1404,537744
1405,537712
1406,537744
1407,537728
1408,537744
1409,537728
1410,537744
1411,537744
1412,537744
1413,537728
1414,537744
1415,537744
1416,537728
1417,537728
1418,537728
1419,537744
1420,537744
1421,537744
1422,537728
1423,537760
1424,537728
1425,537744
1426,537712
1427,537728
1428,537744
1429,537728
1430,537760
1431,537744
1432,537728
1433,537744
1434,537728
1435,537744
1436,537744
1437,537728
1438,537744
1439,537744
1440,537728
1441,537712
1442,537728
1443,537744
1444,537712
1445,537728
1446,537712
1447,537728
1448,537760
1449,537728
1450,537744
1451,537712
1452,537760
1453,537728
1454,537760
1455,537760
1456,537744
1457,537728
1458,537728
1459,537728
1460,537760
1461,537744
1462,537760
1463,537744
1464,537760
1465,537760
1466,537728
1467,537744
1468,537760
1469,537760
1470,537776
1471,537728
1472,537728
1473,537744
1474,537744
1475,537744
1476,537744
1477,537728
1478,537728
1479,537744
1480,537776
1481,537760
1482,537744
1483,537744
1484,537744
1485,537744
1486,537728
1487,537744
1488,537760
1489,537728
1490,537760
1491,537728
1492,537760
1493,537744
1494,537728
1495,537760
1496,537744
1497,537728
1498,537728
1499,537744
1500,537728
1501,537728
1502,537744
1503,537760
1504,537744
1505,537728
1506,537728
1507,537712
1508,537712
1509,537728
1510,537760
1511,537728
1512,537760
1513,537760
1514,537744
1515,537760
1516,537744
1517,537776
1518,537776
1519,537776
1520,537776
1521,537760
1522,537728
1523,537744
1524,537744
1525,537744
1526,537744
1527,537744
1528,537744
1529,537728
1530,537760
1531,537744
1532,537728
1533,537728
1534,537728
1535,537728
1536,537760
1537,537776
1538,537744
1539,537744
1540,537760
1541,537728
1542,537760
1543,537760
1544,537760
1545,537728
1546,537728
1547,537760
1548,537728
1549,537760
1550,537744
1551,537744
1552,537776
1553,537744
1554,537744
1555,537744
1556,537744
1557,537744
1558,537760
1559,537728
1560,537744
1561,537728
1562,537744
1563,537744
1564,537728
1565,537760
1566,537744
1567,537760
1568,537728
1569,537760
1570,537728
1571,537760
1572,537760
1573,537744
1574,537728
1575,537712
1576,537760
1577,537744
1578,537728
1579,537712
1580,537760
1581,537728
1582,537744
1583,537760
1584,537744
1585,537760
1586,537744
1587,537744
1588,537712
1589,537760
1590,537760
1591,537760
1592,537728
1593,537744
1594,537744
1595,537760
1596,537728
1597,537744
1598,537744
1599,537760
1600,537744
1601,537744
1602,537728
1603,537776
1604,537728
1605,537744
1606,537760
1607,537744
1608,537744
1609,537776
1610,537760
1611,537744
1612,537776
1613,537728
1614,537744
1615,537760
1616,537760
1617,537744
1618,537728
1619,537760
1620,537760
1621,537744
1622,537760
1623,537728
1624,537728
1625,537776
1626,537744
1627,537744
1628,537744
1629,537744
1630,537760
1631,537760
1632,537712
1633,537744
1634,537728
1635,537728
1636,537760
1637,537776
1638,537760
1639,537728
1640,537728
1641,537728
1642,537760
1643,537760
1644,537728
1645,537728
1646,537760
1647,537744
1648,537760
1649,537760
1650,537760
1651,537728
1652,537744
1653,537760
1654,537744
1655,537760
1656,537744
1657,537744
1658,537728
1659,537760
1660,537760
1661,537744
1662,537744
1663,537760
1664,537728
1665,537760
1666,537728
1667,537744
1668,537744
1669,537744
1670,537744
1671,537760
1672,537760
1673,537744
1674,537760
1675,537760
1676,537760
1677,537760
1678,537728
1679,537744
1680,537728
1681,537760
1682,537744
1683,537760
1684,537760
1685,537760
1686,537728
1687,537760
1688,537744
1689,537744
1690,537760
1691,537760
1692,537760
1693,537776
1694,537760
1695,537728
1696,537760
1697,537728
1698,537744
1699,537728
1700,537744
1701,537744
1702,537760
1703,537760
1704,537728
1705,537760
1706,537744
1707,537760
1708,537744
1709,537744
1710,537728
1711,537744
1712,537744
1713,537760
1714,537744
1715,537760
1716,537744
1717,537744
1718,537760
1719,537744
1720,537728
1721,537760
1722,537744
1723,537760
1724,537776
1725,537760
1726,537760
1727,537728
1728,537760
1729,537728
1730,537760
1731,537744
1732,537744
1733,537760
1734,537760
1735,537792
1736,537760
1737,537744
1738,537760
1739,537760
1740,537728
1741,537744
1742,537760
1743,537728
1744,537760
1745,537744
1746,537744
1747,537744
1748,537744
1749,537744
1750,537760
1751,537760
1752,537728
1753,537728
1754,537760
1755,537728
1756,537728
1757,537744
1758,537760
1759,537744
1760,537760
1761,537760
1762,537776
1763,537744
1764,537760
1765,537728
1766,537744
1767,537728
1768,537744
1769,537744
1770,537776
1771,537744
1772,537760
1773,537760
1774,537760
1775,537728
1776,537728
1777,537744
1778,537744
1779,537744
1780,537728
1781,537760
1782,537744
1783,537728
1784,537712
1785,537728
1786,537760
1787,537760
1788,537744
1789,537760
1790,537760
1791,537744
1792,537728
1793,537760
1794,537744
1795,537760
1796,537744
1797,537744
1798,537744
1799,537760
1800,537744
1801,537760
1802,537760
1803,537760
1804,537760
1805,537760
1806,537744
1807,537744
1808,537760
1809,537760
1810,537760
1811,537744
1812,537776
1813,537728
1814,537728
1815,537760
1816,537760
1817,537760
1818,537744
1819,537760
1820,537760
1821,537760
1822,537744
1823,537712
1824,537744
1825,537744
1826,537760
1827,537744
1828,537776
1829,537744
1830,537760
1831,537776
1832,537744
1833,537744
1834,537728
1835,537760
1836,537744
1837,537744
1838,537744
1839,537776
1840,537744
1841,537712
1842,537728
1843,537760
1844,537728
1845,537728
1846,537760
1847,537728
1848,537744
1849,537728
1850,537744
1851,537728
1852,537760
1853,537728
1854,537744
1855,537760
1856,537776
1857,537744
1858,537776
1859,537776
1860,537744
1861,537760
1862,537744
1863,537760
1864,537760
1865,537744
1866,537744
1867,537728
1868,537760
1869,537760
1870,537760
1871,537728
1872,537776
1873,537760
1874,537744
1875,537760
1876,537744
1877,537760
1878,537744
1879,537728
1880,537760
1881,537728
1882,537744
1883,537792
1884,537744
1885,537760
1886,537744
1887,537760
1888,537728
1889,537744
1890,537776
1891,537744
1892,537744
1893,537760
1894,537744
1895,537760
1896,537744
1897,537760
1898,537728
1899,537760
1900,537760
1901,537728
1902,537776
1903,537728
1904,537760
1905,537728
1906,537760
1907,537728
1908,537728
1909,537728
1910,537760
1911,537744
1912,537760
1913,537744
1914,537760
